Protein Identifier,seq_len,num_motifs,motif_density,avg_hydro,std_hydro,max_hydro,min_hydro,hydrophobic_fraction
P09798,840,10,0.011904761904761904,-0.48333333333333334,3.018661534574133,4.5,-4.5,0.35714285714285715
P05453,685,6,0.008759124087591242,-0.7972262773722628,2.9404465448474184,4.5,-4.5,0.291970802919708
P53886,1748,16,0.009153318077803204,-0.18621281464530892,3.0841031215816606,4.5,-4.5,0.37013729977116705
P16522,626,7,0.011182108626198083,-0.4047923322683706,3.0957627495663402,4.5,-4.5,0.3769968051118211
P06701,978,9,0.009202453987730062,-0.5062372188139058,3.1828290513163133,4.5,-4.5,0.34049079754601225
P38930,258,1,0.003875968992248062,-0.45465116279069767,3.0954451525210533,4.5,-4.5,0.3449612403100775
Q04921,423,5,0.01182033096926714,-0.6633569739952719,3.1688130214274475,4.5,-4.5,0.3144208037825059
P19736,530,1,0.0018867924528301887,-0.8445283018867925,3.1168771054869064,4.5,-4.5,0.3150943396226415
P38042,758,7,0.009234828496042216,-0.43113456464379957,2.9969873228885415,4.5,-4.5,0.3496042216358839
P43639,278,3,0.01079136690647482,-0.6816546762589928,2.95809852816539,4.5,-4.5,0.3237410071942446
P11978,1358,23,0.016936671575846832,-0.883578792341679,2.981423067992909,4.5,-4.5,0.27172312223858613
P21182,396,2,0.005050505050505051,-0.46060606060606063,3.0220341728348226,4.5,-4.5,0.34595959595959597
P17555,526,5,0.009505703422053232,-0.5340304182509505,2.9280798856187693,4.5,-4.5,0.32129277566539927
Q12060,488,8,0.01639344262295082,-0.5625,3.062090973019773,4.5,-4.5,0.32581967213114754
P08524,352,2,0.005681818181818182,-0.32017045454545456,3.1478648922779637,4.5,-4.5,0.38920454545454547
P21264,571,4,0.0070052539404553416,-0.0038528896672504927,3.1212652705339803,4.5,-4.5,0.415061295971979
P00812,333,1,0.003003003003003003,-0.03333333333333332,3.0004704335858436,4.5,-4.5,0.39039039039039036
P32459,195,1,0.005128205128205128,-0.2153846153846154,3.07710640479493,4.5,-4.5,0.36923076923076925
P21705,255,2,0.00784313725490196,-0.7541176470588236,3.020591538268809,4.5,-4.5,0.2980392156862745
P38122,312,2,0.00641025641025641,-0.03685897435897436,3.00921987174783,4.5,-4.5,0.391025641025641
P51601,243,0,0.0,-0.3308641975308642,3.1825517872733875,4.5,-4.5,0.37448559670781895
Q06549,142,2,0.014084507042253521,0.09647887323943662,3.005474159863964,4.5,-4.5,0.44366197183098594
P38986,381,3,0.007874015748031496,-0.06719160104986882,3.057197477651269,4.5,-4.5,0.3805774278215223
P00927,576,4,0.006944444444444444,-0.1666666666666667,3.1360803561133443,4.5,-4.5,0.3871527777777778
P40073,367,5,0.013623978201634877,-0.4138964577656675,2.9266971499051033,4.5,-4.5,0.329700272479564
P40054,469,5,0.010660980810234541,-0.05074626865671642,3.084714443145157,4.5,-4.5,0.39232409381663114
P23337,708,8,0.011299435028248588,-0.3485875706214689,3.1173626645683017,4.5,-4.5,0.3700564971751412
P05373,342,0,0.0,-0.08596491228070177,3.0753275067255283,4.5,-4.5,0.41228070175438597
P53226,547,9,0.016453382084095063,-0.572760511882998,2.935642448311331,4.5,-4.5,0.3053016453382084
P38795,714,6,0.008403361344537815,-0.19859943977591038,3.0973510412293805,4.5,-4.5,0.3865546218487395
P12383,1068,12,0.011235955056179775,-0.4167602996254682,3.074129393310144,4.5,-4.5,0.351123595505618
P48361,1146,20,0.017452006980802792,-0.6821116928446772,2.8485021460727227,4.5,-4.5,0.2905759162303665
P17423,357,1,0.0028011204481792717,-0.05546218487394957,3.017401375504251,4.5,-4.5,0.38935574229691877
P32505,525,5,0.009523809523809525,-0.8028571428571428,2.9414235990614555,4.5,-4.5,0.3219047619047619
P08536,511,4,0.007827788649706457,-0.2876712328767123,3.1529914130578107,4.5,-4.5,0.3639921722113503
P06700,562,2,0.0035587188612099642,-0.299644128113879,3.108689442721988,4.5,-4.5,0.3665480427046263
P04387,435,3,0.006896551724137931,-0.10344827586206896,3.0352052431448966,4.5,-4.5,0.3793103448275862
P38274,827,7,0.008464328899637243,-0.3681983071342201,3.118039259152689,4.5,-4.5,0.3518742442563482
P21374,235,2,0.00851063829787234,-1.0965957446808512,3.059465449482579,4.5,-4.5,0.28085106382978725
P38862,630,6,0.009523809523809525,-0.1373015873015873,3.1655369946662537,4.5,-4.5,0.4015873015873016
P38785,314,5,0.01592356687898089,-0.8853503184713376,2.880857429127394,4.5,-4.5,0.267515923566879
P33420,868,7,0.008064516129032258,-0.48444700460829493,3.274475374760113,4.5,-4.5,0.358294930875576
P48581,401,3,0.007481296758104738,-0.36907730673316713,3.197441526552038,4.5,-4.5,0.36159600997506236
P32628,398,4,0.010050251256281407,-0.4525125628140703,2.8880939478923167,4.5,-4.5,0.3542713567839196
P38147,527,2,0.003795066413662239,-0.2648956356736244,3.1563437430075165,4.5,-4.5,0.3757115749525617
Q92331,675,8,0.011851851851851851,-0.7475555555555556,3.0498338671612832,4.5,-4.5,0.3125925925925926
P32849,1169,8,0.006843455945252352,-0.5384088964927289,3.1227531447755696,4.5,-4.5,0.339606501283148
P10862,487,6,0.012320328542094456,-0.7558521560574949,2.9683895278112993,4.5,-4.5,0.2997946611909651
P40202,249,4,0.01606425702811245,-0.3469879518072289,3.0479437014294994,4.5,-4.5,0.3534136546184739
