Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
P00447,0.10300429184549356,0.02145922746781116,0.06437768240343347,0.04721030042918455,0.004291845493562232,0.055793991416309016,0.04721030042918455,0.08583690987124463,0.02575107296137339,0.04721030042918455,0.09871244635193133,0.0815450643776824,0.008583690987124463,0.04721030042918455,0.03862660944206009,0.04291845493562232,0.06866952789699571,0.02575107296137339,0.034334763948497854,0.05150214592274678,4,3,3,4,1,2,0,1,4,3,2,1,1,0,2,2,2,1,1,1,0,4,1,2,1,0,1,0,1,1,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,5,3,1,2,2,0,0,3,0,2,0,0,3,1,2,3,1,0,1,1,0,2,0,0,1,1,3,0,2,2,1,0,1,0,0,1,2,1,3,1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,1,0,2,2,1,2,1,3,0,1,1,1,3,0,0,0,1,3,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,1,0,3,1,1,2,1,1,0,0,3,1,1,0,1,0,1,2,3,2,1,0,0,1,1,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,4,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,1,1,0,2,0,0,0,1,0,0,0,0,0,1,3,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7068965517241379,-1.7413793103448276,-1.0,-1.6551724137931034,-2.8405172413793105,-1.103448275862069,-1.3448275862068966,-1.853448275862069,-1.4353448275862069,-1.7543103448275863,-1.4956896551724137,-1.0732758620689655,-1.625,-1.8706896551724137,-2.2543103448275863,-1.1120689655172413,-1.125,-2.646551724137931,-1.7112068965517242,-1.5
P00812,0.07807807807807808,0.024024024024024024,0.03903903903903904,0.06306306306306306,0.018018018018018018,0.012012012012012012,0.06006006006006006,0.10510510510510511,0.03003003003003003,0.06306306306306306,0.10510510510510511,0.06606606606606606,0.03003003003003003,0.018018018018018018,0.05405405405405406,0.06606606606606606,0.04804804804804805,0.009009009009009009,0.03303303303303303,0.07807807807807808,0,5,4,1,3,5,0,6,3,5,1,4,4,1,3,4,2,1,1,3,0,3,3,2,0,2,0,0,2,0,2,0,1,1,0,4,4,1,0,3,1,0,1,0,0,0,1,0,0,5,7,3,2,1,3,2,4,2,3,1,2,1,0,4,5,3,3,1,2,0,5,1,0,0,0,0,1,2,0,1,1,2,1,0,3,2,1,1,2,1,0,1,0,0,1,0,0,0,1,5,5,1,0,1,0,2,5,2,1,0,2,0,1,2,2,3,1,2,1,1,3,3,0,0,1,0,0,2,0,0,0,2,0,2,4,1,0,1,0,0,0,0,1,0,0,0,0,3,2,2,1,0,2,0,6,1,0,1,0,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,2,1,4,0,1,0,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,1,2,0,3,0,4,3,0,1,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,3,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4066265060240964,-1.3072289156626506,-1.322289156626506,-1.1265060240963856,-1.9578313253012047,-1.1867469879518073,-1.1355421686746987,-1.2981927710843373,-1.0963855421686748,-1.1987951807228916,-1.0843373493975903,-1.3132530120481927,-1.1114457831325302,-1.5963855421686748,-1.5,-0.8012048192771084,-0.9126506024096386,-2.5,-1.427710843373494,-0.9156626506024096
P00830,0.10567514677103718,0.04892367906066536,0.021526418786692758,0.04892367906066536,0.0019569471624266144,0.03913894324853229,0.07436399217221135,0.09001956947162426,0.0136986301369863,0.06653620352250489,0.09393346379647749,0.05675146771037182,0.015655577299412915,0.03522504892367906,0.04892367906066536,0.0547945205479452,0.07240704500978473,0.0019569471624266144,0.021526418786692758,0.08806262230919765,12,7,8,3,7,4,0,9,9,7,2,4,2,0,5,9,5,2,1,5,1,2,4,1,0,0,1,0,7,3,4,0,1,3,0,3,5,4,1,1,2,0,0,0,0,0,0,0,0,10,8,12,3,3,3,0,12,3,1,3,5,9,0,1,4,2,0,3,3,0,2,1,2,2,0,2,0,6,2,2,1,2,3,0,5,1,3,4,0,2,0,0,0,0,0,0,0,0,5,4,3,0,2,3,0,10,6,0,1,4,3,0,4,4,3,3,0,0,0,2,1,0,0,1,4,0,3,2,2,0,0,1,0,2,3,1,1,4,0,0,0,0,0,0,1,0,0,3,2,1,0,2,4,0,1,6,3,0,1,0,0,1,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,6,6,3,1,2,1,0,2,3,2,0,2,1,0,1,2,3,0,3,3,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,5,6,2,1,2,1,0,5,6,0,3,0,0,0,5,3,0,2,1,0,0,4,3,1,0,0,1,0,1,2,3,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6490196078431373,-1.4098039215686275,-1.5607843137254902,-1.584313725490196,-2.847058823529412,-1.0529411764705883,-1.0450980392156863,-1.6607843137254903,-2.023529411764706,-1.2980392156862746,-1.5411764705882354,-1.2431372549019608,-1.1705882352941177,-2.219607843137255,-2.0176470588235293,-0.8803921568627451,-0.8529411764705882,-3.433333333333333,-1.9843137254901961,-1.0607843137254902
P00927,0.07118055555555555,0.05555555555555555,0.04513888888888889,0.046875,0.008680555555555556,0.03993055555555555,0.059027777777777776,0.07118055555555555,0.03125,0.059027777777777776,0.0954861111111111,0.059027777777777776,0.017361111111111112,0.03993055555555555,0.046875,0.06944444444444445,0.052083333333333336,0.001736111111111111,0.034722222222222224,0.0954861111111111,11,13,7,6,4,3,1,11,6,8,0,6,3,0,2,7,5,1,2,1,2,2,1,4,5,3,0,0,2,4,2,0,1,2,0,2,2,3,0,1,2,0,0,1,0,0,0,1,0,15,4,4,2,3,4,0,4,5,6,3,7,4,0,8,8,1,3,5,2,1,2,3,2,3,2,2,0,3,7,3,4,0,3,0,3,2,3,2,2,4,0,0,0,0,0,0,0,0,7,6,4,3,2,1,0,9,3,5,4,0,3,0,2,4,3,1,1,2,0,2,4,1,1,2,3,0,4,4,2,1,2,0,0,1,1,1,2,0,4,0,2,1,0,0,0,0,0,4,1,3,1,1,0,0,4,2,3,2,2,1,0,4,2,1,2,4,2,0,2,1,3,0,4,0,0,3,3,2,4,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,3,3,2,3,0,2,1,3,7,4,3,3,2,0,3,1,2,3,0,1,0,1,3,3,1,0,1,0,0,3,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,1,5,2,2,2,2,0,4,2,2,3,0,1,0,1,2,2,0,1,1,0,2,1,0,0,1,2,0,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.391304347826087,-1.1652173913043478,-1.248695652173913,-1.288695652173913,-2.405217391304348,-1.0556521739130436,-0.8191304347826087,-1.3008695652173914,-1.1773913043478261,-1.1443478260869566,-1.0817391304347825,-0.9704347826086956,-1.0556521739130436,-1.653913043478261,-1.6191304347826088,-0.831304347826087,-0.8069565217391305,-2.8173913043478263,-1.3808695652173912,-0.9234782608695652
P02829,0.06064880112834979,0.0380818053596615,0.036671368124118475,0.06629055007052186,0.0,0.031029619181946404,0.13399153737658676,0.03385049365303244,0.005641748942172073,0.0691114245416079,0.0930888575458392,0.10860366713681241,0.018335684062059238,0.0465444287729196,0.0380818053596615,0.0691114245416079,0.056417489421720736,0.007052186177715092,0.028208744710860368,0.05923836389280677,6,6,2,1,4,1,0,5,2,6,5,2,2,0,0,6,3,2,4,5,0,2,1,3,0,0,1,0,2,3,5,2,4,3,0,2,6,2,0,3,7,0,0,0,0,0,0,0,0,4,1,6,3,7,9,0,6,14,6,0,7,11,0,5,5,6,1,7,4,0,3,3,2,2,7,3,0,1,6,4,2,4,4,0,3,7,6,2,8,6,0,0,0,0,0,0,0,0,4,3,5,1,1,2,0,8,8,5,6,5,7,0,5,7,7,1,0,1,0,2,2,1,0,1,1,0,2,5,5,1,1,2,0,3,3,5,1,4,6,0,0,0,0,0,0,0,0,2,2,2,0,2,3,0,2,5,2,0,1,2,0,0,5,1,0,2,3,0,0,2,1,1,1,1,0,2,1,2,1,3,0,0,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,5,3,0,2,1,0,6,7,3,3,4,5,0,4,9,4,1,3,1,0,0,2,1,3,0,1,0,2,4,3,0,3,6,0,5,2,1,2,1,7,0,0,0,0,0,0,0,0,4,5,3,2,3,4,0,3,8,6,6,2,5,0,2,7,0,2,0,8,0,4,2,3,0,0,1,0,2,9,3,1,3,3,0,6,9,4,4,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.903954802259887,-1.3983050847457628,-1.2175141242937852,-1.0056497175141244,-2.9237288135593222,-0.9519774011299436,-0.4703389830508475,-2.07909604519774,-1.6723163841807909,-1.5706214689265536,-1.5720338983050848,-0.6581920903954802,-1.4124293785310735,-2.0480225988700567,-2.1454802259887007,-0.8206214689265536,-0.9209039548022598,-2.977401129943503,-1.9081920903954803,-1.4336158192090396
P03069,0.06761565836298933,0.046263345195729534,0.046263345195729534,0.07829181494661921,0.0,0.028469750889679714,0.08540925266903915,0.021352313167259787,0.014234875444839857,0.03202846975088968,0.09608540925266904,0.08185053380782918,0.017793594306049824,0.03914590747330961,0.0711743772241993,0.1103202846975089,0.0711743772241993,0.0035587188612099642,0.014234875444839857,0.07473309608540925,3,3,2,1,0,3,0,0,3,3,1,1,2,0,2,2,1,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0,0,3,1,1,0,4,0,0,0,0,0,0,0,0,1,5,3,0,1,0,0,2,6,7,1,1,3,0,2,5,3,0,1,2,0,1,1,4,0,1,2,0,3,0,1,0,3,1,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,1,1,2,1,0,4,0,2,4,2,2,2,0,0,3,1,6,1,1,3,0,0,2,1,0,2,2,0,1,1,1,2,2,0,0,1,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,3,1,1,1,1,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,4,0,1,0,3,2,0,1,2,0,0,1,0,0,1,1,0,2,2,1,0,0,1,1,0,1,0,0,4,2,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,4,4,1,5,1,2,0,0,0,5,1,1,1,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,1,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1357142857142857,-0.6464285714285715,-0.3,-0.44642857142857145,-2.125,0.2571428571428571,-0.10714285714285714,-0.9107142857142857,-0.5857142857142857,-1.5035714285714286,-1.0107142857142857,-0.3,-0.7535714285714286,-1.9,0.30357142857142855,0.6035714285714285,-0.017857142857142856,-2.6964285714285716,-1.5321428571428573,-1.0571428571428572
P03962,0.09363295880149813,0.052434456928838954,0.02247191011235955,0.07116104868913857,0.0149812734082397,0.0299625468164794,0.06367041198501873,0.10112359550561797,0.0149812734082397,0.052434456928838954,0.09737827715355805,0.08239700374531835,0.02247191011235955,0.0299625468164794,0.026217228464419477,0.0449438202247191,0.06367041198501873,0.011235955056179775,0.033707865168539325,0.07116104868913857,5,3,2,2,2,1,0,5,3,4,0,2,4,0,4,1,2,1,1,1,0,1,0,2,0,1,1,0,3,2,2,0,1,2,1,3,1,1,1,1,3,0,0,1,0,0,1,0,0,2,4,1,0,3,2,0,3,3,0,2,2,3,1,3,2,1,0,0,0,0,0,1,3,0,0,1,0,3,1,1,0,1,0,0,5,1,2,0,3,0,0,0,1,0,0,0,0,0,3,2,1,0,3,4,1,1,3,0,2,0,3,0,2,2,0,1,1,1,0,1,1,0,1,1,0,0,3,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,0,0,1,0,0,1,2,0,1,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,1,2,0,2,2,1,0,0,1,0,2,0,4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,2,0,0,0,1,0,0,0,0,1,4,3,2,2,1,0,1,2,1,0,0,0,0,2,1,1,0,1,0,0,1,0,1,0,0,0,0,2,0,3,1,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02631578947368421,-1.3120300751879699,-1.5601503759398496,-1.4360902255639099,-2.56390977443609,-1.105263157894737,-1.056390977443609,-1.5714285714285714,-1.7894736842105263,-1.1654135338345866,-1.3045112781954886,-1.056390977443609,-1.2894736842105263,-2.1240601503759398,-1.9661654135338347,-0.9736842105263158,-1.0827067669172932,-3.1278195488721803,-1.9248120300751879,-0.9511278195488722
P04386,0.04880817253121453,0.04086265607264472,0.07037457434733257,0.0510783200908059,0.02043132803632236,0.05221339387060159,0.04540295119182747,0.032917139614074914,0.019296254256526674,0.06356413166855845,0.10783200908059024,0.053348467650397274,0.021566401816118047,0.043132803632236094,0.05221339387060159,0.11350737797956867,0.07491486946651532,0.01362088535754824,0.03064699205448354,0.04426787741203178,1,3,3,1,0,2,0,3,8,10,2,2,2,0,6,8,5,4,6,4,0,0,4,8,3,1,3,0,0,1,2,1,0,0,0,1,2,4,0,2,5,0,1,1,0,1,1,0,0,2,7,9,9,2,3,2,11,16,19,7,8,2,3,11,20,12,7,6,4,1,4,8,6,6,3,3,0,2,3,7,3,3,3,1,0,3,5,4,2,1,1,0,1,1,2,2,0,0,3,8,13,2,0,3,0,9,18,19,12,2,3,1,5,11,12,7,6,5,1,3,7,7,6,1,4,0,3,8,3,4,2,4,1,4,4,3,1,0,3,0,0,0,0,1,2,0,0,4,6,2,4,2,2,0,4,8,5,6,2,2,0,2,13,10,4,4,0,0,5,5,6,7,2,5,0,0,4,2,3,0,0,0,1,6,2,5,2,1,0,0,1,0,0,0,0,0,0,1,3,1,0,1,2,4,9,5,1,3,2,1,4,5,2,2,1,1,1,5,1,4,2,2,1,0,2,3,1,2,1,0,0,1,2,2,0,1,0,1,0,1,0,0,0,1,0,0,2,3,1,0,2,0,3,5,2,2,5,4,1,1,6,6,3,2,1,0,2,1,1,5,0,1,1,0,4,2,2,1,0,0,1,5,3,0,1,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.39545454545454545,-0.40795454545454546,-0.14545454545454545,-0.5261363636363636,-1.259090909090909,-0.09545454545454546,-0.5943181818181819,-1.4329545454545454,-0.21477272727272728,-0.7954545454545454,-0.5397727272727273,-0.8613636363636363,-0.3488636363636364,-0.8193181818181818,-0.27954545454545454,0.4034090909090909,-0.07386363636363637,-1.5636363636363637,-0.8079545454545455,-0.9420454545454545
P04387,0.06896551724137931,0.034482758620689655,0.06206896551724138,0.03908045977011494,0.004597701149425287,0.041379310344827586,0.04827586206896552,0.0735632183908046,0.022988505747126436,0.08735632183908046,0.09195402298850575,0.05517241379310345,0.022988505747126436,0.04597701149425287,0.04827586206896552,0.08505747126436781,0.052873563218390804,0.006896551724137931,0.05057471264367816,0.05747126436781609,1,3,0,5,4,3,0,6,2,6,3,2,4,0,2,1,4,1,1,1,0,5,9,4,1,0,2,0,1,3,3,1,0,2,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,1,2,0,6,4,5,2,2,5,0,4,4,7,5,4,3,2,1,4,5,2,1,1,0,1,3,1,4,2,1,0,4,7,2,2,2,0,0,0,0,0,0,0,0,0,2,6,5,6,0,1,0,2,5,6,3,4,3,0,4,3,8,3,1,1,0,3,3,5,0,1,0,0,1,4,1,0,2,0,0,1,4,1,0,0,0,0,1,0,1,0,0,0,0,4,4,0,2,3,0,0,4,5,3,4,1,3,0,4,6,1,1,2,1,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,2,2,3,2,1,1,0,3,5,0,1,0,0,0,2,3,1,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,1,1,1,0,3,6,5,0,2,1,0,2,4,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04838709677419355,-0.6866359447004609,-0.9032258064516129,-0.804147465437788,-1.847926267281106,-0.6497695852534562,-0.4976958525345622,-0.988479262672811,-0.7304147465437788,-0.868663594470046,-0.9354838709677419,-0.8271889400921659,-0.7258064516129032,-1.2695852534562213,-1.1359447004608294,-0.47465437788018433,-0.4608294930875576,-1.7580645161290323,-1.055299539170507,-0.5599078341013825
P04807,0.06995884773662552,0.03909465020576132,0.03909465020576132,0.06995884773662552,0.00823045267489712,0.04526748971193416,0.06584362139917696,0.08436213991769548,0.0102880658436214,0.0823045267489712,0.0720164609053498,0.0720164609053498,0.026748971193415638,0.04938271604938271,0.059670781893004114,0.051440329218107,0.06172839506172839,0.00823045267489712,0.03292181069958848,0.051440329218107,5,8,4,3,4,2,0,5,9,4,2,5,2,0,3,6,4,0,3,2,0,3,4,0,0,1,1,0,1,2,1,0,3,2,0,3,2,1,2,0,1,0,1,0,0,0,0,0,0,9,7,3,3,3,2,1,7,5,3,4,4,10,0,2,5,3,1,2,4,0,3,1,1,2,3,3,0,4,3,2,1,4,3,0,2,2,7,3,2,4,0,0,0,0,0,0,0,0,4,3,4,1,2,3,0,7,5,1,1,3,4,0,4,0,4,2,2,4,0,1,1,2,1,1,0,0,1,1,5,1,0,2,0,1,2,3,1,1,3,1,1,0,0,0,0,0,0,3,3,4,0,0,0,0,2,5,2,0,3,1,0,3,1,2,1,0,0,0,1,1,3,0,1,1,0,0,1,2,2,1,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,2,2,1,2,0,1,0,4,5,2,1,0,0,0,3,3,1,2,2,1,0,1,2,1,1,0,0,1,1,2,2,2,0,1,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,2,4,5,5,2,3,0,2,6,2,0,1,1,1,1,3,0,3,0,1,0,1,3,0,0,0,0,0,1,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6701030927835051,-1.1175257731958763,-1.2948453608247423,-1.3690721649484536,-1.9257731958762887,-1.0494845360824743,-0.9587628865979382,-1.6185567010309279,-1.4103092783505156,-1.1298969072164948,-1.1896907216494845,-0.9525773195876288,-0.9278350515463918,-1.8061855670103093,-2.0164948453608247,-0.6701030927835051,-0.7587628865979381,-2.802061855670103,-1.6288659793814433,-0.9175257731958762
