Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
P00447,0.10300429184549356,0.02145922746781116,0.06437768240343347,0.04721030042918455,0.004291845493562232,0.055793991416309016,0.04721030042918455,0.08583690987124463,0.02575107296137339,0.04721030042918455,0.09871244635193133,0.0815450643776824,0.008583690987124463,0.04721030042918455,0.03862660944206009,0.04291845493562232,0.06866952789699571,0.02575107296137339,0.034334763948497854,0.05150214592274678,-0.4592274678111588,-1.0343347639484979,-0.7167381974248928,-1.184549356223176,-1.944206008583691,-0.5879828326180258,-0.721030042918455,-1.2832618025751072,-1.145922746781116,-1.3133047210300428,-1.167381974248927,-0.6523605150214592,-0.7939914163090128,-1.4678111587982832,-1.536480686695279,-0.3261802575107296,-0.5021459227467812,-2.072961373390558,-1.1587982832618027,-0.9742489270386266
P00812,0.07807807807807808,0.024024024024024024,0.03903903903903904,0.06306306306306306,0.018018018018018018,0.012012012012012012,0.06006006006006006,0.10510510510510511,0.03003003003003003,0.06306306306306306,0.10510510510510511,0.06606606606606606,0.03003003003003003,0.018018018018018018,0.05405405405405406,0.06606606606606606,0.04804804804804805,0.009009009009009009,0.03303303303303303,0.07807807807807808,-0.4294294294294294,-1.2372372372372373,-0.8798798798798799,-1.147147147147147,-1.7687687687687688,-0.8348348348348348,-0.8138138138138138,-1.2432432432432432,-1.3093093093093093,-1.075075075075075,-1.0690690690690692,-0.8198198198198198,-0.7117117117117117,-1.6366366366366367,-1.3933933933933933,-0.3483483483483483,-0.5795795795795796,-2.4144144144144146,-1.3903903903903905,-0.7597597597597597
P00830,0.10567514677103718,0.04892367906066536,0.021526418786692758,0.04892367906066536,0.0019569471624266144,0.03913894324853229,0.07436399217221135,0.09001956947162426,0.0136986301369863,0.06653620352250489,0.09393346379647749,0.05675146771037182,0.015655577299412915,0.03522504892367906,0.04892367906066536,0.0547945205479452,0.07240704500978473,0.0019569471624266144,0.021526418786692758,0.08806262230919765,-0.25440313111545987,-1.0391389432485323,-1.0019569471624266,-1.197651663405088,-1.8923679060665362,-0.6575342465753424,-0.6536203522504892,-1.350293542074364,-1.442270058708415,-1.0,-1.0078277886497065,-0.7142857142857143,-0.6771037181996086,-1.6281800391389432,-1.365949119373777,-0.3268101761252446,-0.40313111545988256,-2.5009784735812133,-1.452054794520548,-0.6203522504892368
P00927,0.07118055555555555,0.05555555555555555,0.04513888888888889,0.046875,0.008680555555555556,0.03993055555555555,0.059027777777777776,0.07118055555555555,0.03125,0.059027777777777776,0.0954861111111111,0.059027777777777776,0.017361111111111112,0.03993055555555555,0.046875,0.06944444444444445,0.052083333333333336,0.001736111111111111,0.034722222222222224,0.0954861111111111,-0.4791666666666667,-0.9791666666666666,-0.8246527777777778,-1.2239583333333333,-1.8871527777777777,-0.6232638888888888,-0.703125,-1.5173611111111112,-1.1475694444444444,-1.015625,-1.0069444444444444,-0.6822916666666666,-0.6388888888888888,-1.5017361111111112,-1.4618055555555556,-0.3680555555555556,-0.515625,-2.4479166666666665,-1.2135416666666667,-0.7152777777777778
P02829,0.06064880112834979,0.0380818053596615,0.036671368124118475,0.06629055007052186,0.0,0.031029619181946404,0.13399153737658676,0.03385049365303244,0.005641748942172073,0.0691114245416079,0.0930888575458392,0.10860366713681241,0.018335684062059238,0.0465444287729196,0.0380818053596615,0.0691114245416079,0.056417489421720736,0.007052186177715092,0.028208744710860368,0.05923836389280677,-0.6064880112834978,-0.8307475317348378,-0.7616361071932299,-0.8025387870239774,-2.139633286318759,-0.3469675599435825,-0.10860366713681241,-1.8067700987306066,-1.2454160789844853,-1.156558533145275,-1.0902679830747533,-0.25811001410437234,-0.691114245416079,-1.5641748942172073,-1.4287729196050776,-0.2834978843441467,-0.48801128349788436,-2.458392101551481,-1.3300423131170662,-0.843441466854725
P03069,0.06761565836298933,0.046263345195729534,0.046263345195729534,0.07829181494661921,0.0,0.028469750889679714,0.08540925266903915,0.021352313167259787,0.014234875444839857,0.03202846975088968,0.09608540925266904,0.08185053380782918,0.017793594306049824,0.03914590747330961,0.0711743772241993,0.1103202846975089,0.0711743772241993,0.0035587188612099642,0.014234875444839857,0.07473309608540925,-0.47330960854092524,-0.8540925266903915,-0.6014234875444839,-0.7330960854092526,-2.02135231316726,-0.3879003558718861,-0.25622775800711745,-1.704626334519573,-1.2348754448398576,-1.2633451957295374,-1.1850533807829182,-0.3416370106761566,-0.7402135231316725,-1.7544483985765125,-1.0640569395017794,-0.046263345195729534,-0.25622775800711745,-2.6512455516014235,-1.5266903914590748,-0.9288256227758007
P03962,0.09363295880149813,0.052434456928838954,0.02247191011235955,0.07116104868913857,0.0149812734082397,0.0299625468164794,0.06367041198501873,0.10112359550561797,0.0149812734082397,0.052434456928838954,0.09737827715355805,0.08239700374531835,0.02247191011235955,0.0299625468164794,0.026217228464419477,0.0449438202247191,0.06367041198501873,0.011235955056179775,0.033707865168539325,0.07116104868913857,-0.3857677902621723,-0.9662921348314607,-0.9288389513108615,-1.1123595505617978,-1.8239700374531835,-0.6591760299625468,-0.6704119850187266,-1.2696629213483146,-1.3632958801498127,-1.1835205992509363,-1.1086142322097379,-0.6142322097378277,-0.7378277153558053,-1.6029962546816479,-1.595505617977528,-0.37453183520599254,-0.5318352059925093,-2.3071161048689137,-1.3670411985018727,-0.8314606741573034
P04386,0.04880817253121453,0.04086265607264472,0.07037457434733257,0.0510783200908059,0.02043132803632236,0.05221339387060159,0.04540295119182747,0.032917139614074914,0.019296254256526674,0.06356413166855845,0.10783200908059024,0.053348467650397274,0.021566401816118047,0.043132803632236094,0.05221339387060159,0.11350737797956867,0.07491486946651532,0.01362088535754824,0.03064699205448354,0.04426787741203178,-0.5981838819523269,-1.0,-0.5925085130533485,-1.1010215664018161,-1.7150964812712826,-0.5391600454029511,-0.713961407491487,-1.7230419977298523,-1.1713961407491487,-1.1044267877412033,-0.9738933030646992,-0.6753688989784336,-0.5913734392735528,-1.4619750283768445,-1.4267877412031782,-0.12599318955732122,-0.2996594778660613,-2.3064699205448354,-1.2236095346197502,-0.9148694665153235
P04387,0.06896551724137931,0.034482758620689655,0.06206896551724138,0.03908045977011494,0.004597701149425287,0.041379310344827586,0.04827586206896552,0.0735632183908046,0.022988505747126436,0.08735632183908046,0.09195402298850575,0.05517241379310345,0.022988505747126436,0.04597701149425287,0.04827586206896552,0.08505747126436781,0.052873563218390804,0.006896551724137931,0.05057471264367816,0.05747126436781609,-0.5310344827586206,-1.1195402298850574,-0.7517241379310344,-1.2689655172413794,-1.8873563218390805,-0.7011494252873564,-0.8367816091954023,-1.4804597701149425,-1.1494252873563218,-0.9885057471264368,-0.9724137931034482,-0.8022988505747126,-0.6160919540229886,-1.3241379310344827,-1.5149425287356322,-0.296551724137931,-0.5241379310344828,-2.282758620689655,-1.0551724137931036,-0.767816091954023
P04807,0.06995884773662552,0.03909465020576132,0.03909465020576132,0.06995884773662552,0.00823045267489712,0.04526748971193416,0.06584362139917696,0.08436213991769548,0.0102880658436214,0.0823045267489712,0.0720164609053498,0.0720164609053498,0.026748971193415638,0.04938271604938271,0.059670781893004114,0.051440329218107,0.06172839506172839,0.00823045267489712,0.03292181069958848,0.051440329218107,-0.5596707818930041,-1.0617283950617284,-0.8353909465020576,-0.9897119341563786,-1.9753086419753085,-0.6069958847736625,-0.6193415637860082,-1.4115226337448559,-1.3189300411522633,-1.1872427983539096,-1.1893004115226338,-0.6748971193415638,-0.7448559670781894,-1.5267489711934157,-1.337448559670782,-0.3683127572016461,-0.551440329218107,-2.3559670781893005,-1.3189300411522633,-0.8806584362139918
