Identifier A,Identifier B,Interaction
A0FGR8,Q8NCK7,1
A1L0T0,Q8NCK7,1
A2A2Q9,Q8NCK7,1
A2A935,P37238,1
A2AEA2,Q8NCK7,1
A5PL33,Q8NCK7,1
A8MTZ0,Q15154,1
A8MTZ0,Q8IWZ6,1
A8MTZ0,Q8NFJ9,1
A8MTZ0,Q96RK4,1
A8MTZ0,Q9BXC9,1
B1ANR0,Q8NCK7,1
B4DLN1,Q8NCK7,1
B4DR61,Q8NCK7,1
B5MDF5,Q8NCK7,1
C9JNU6,Q8NCK7,1
C9JRZ6,Q8NCK7,1
D4ABI7,P15127,1
E7EMK3,Q8NCK7,1
E9PRG8,Q8NCK7,1
F1MWF1,O41515,1
F5H5D3,Q8NCK7,1
F8W1S1,Q8NCK7,1
G3H0F0,O14901,1
G3V325,Q8NCK7,1
G3V5Z7,Q8NCK7,1
H0YMV8,Q8NCK7,1
H3BMF4,Q8NCK7,1
J3KN16,Q8NCK7,1
J3KNF5,Q8NCK7,1
J3KPP4,Q8NCK7,1
J3KPS0,Q8NCK7,1
J3KPX7,Q8NCK7,1
M0QXB4,Q8NCK7,1
O00231,Q8NCK7,1
O00232,Q8NCK7,1
O00264,Q8NCK7,1
O00287,Q8NCK7,1
O00303,Q8NCK7,1
O00311,Q8NCK7,1
O00410,Q8NCK7,1
O00483,Q8NCK7,1
O00487,Q8NCK7,1
O00488,Q8NCK7,1
O00743,Q8NCK7,1
O09044,P63044,1
O09044,P63045,1
O09044,P70452,1
O09044,Q08850,1
O09044,Q60770,1
O14497,Q8NCK7,1
O14524,Q8NCK7,1
O14654,Q8NCK7,1
O14681,Q8NCK7,1
O14818,Q8NCK7,1
O14929,Q8NCK7,1
O14974,Q8NCK7,1
O14980,Q8NCK7,1
O15020,Q8NCK7,1
O15260,Q8NCK7,1
O15269,Q8NCK7,1
O35567,P15127,1
O43164,Q8NCK7,1
O43175,Q8NCK7,1
O43242,Q8NCK7,1
O43251,Q8NCK7,1
O43524,Q9NTG7,1
O43592,Q8NCK7,1
O43617,Q96QF0,1
O43681,Q8NCK7,1
O43795,Q8NCK7,1
O43809,Q8NCK7,1
O43819,Q8NCK7,1
O55013,Q96QF0,1
O60237,Q8NCK7,1
O60884,Q8NCK7,1
O75190,Q8NCK7,1
O75376,P37231,1
O75396,Q8NCK7,1
O75477,Q8NCK7,1
O75600,Q8NCK7,1
O75607,Q8NCK7,1
O75683,Q8NCK7,1
O75746,Q8NCK7,1
O75787,Q8NCK7,1
O75865,Q96QF0,1
O75915,Q8NCK7,1
O75947,Q8NCK7,1
O75953,Q8NCK7,1
O75964,Q8NCK7,1
O75970,Q8NCK7,1
O76024,P05026,1
O76024,P16615,1
O88848,P55258,1
O88848,P62492,1
O88848,Q02248,1
O88848,Q3V3N7,1
O88848,Q811G0,1
O88848,Q8C1Z7,1
O88848,Q8K2G4,1
O88848,Q8VD72,1
O88848,Q9CWF6,1
O88848,Q9CZQ9,1
O88900,P15127,1
O94761,Q8NCK7,1
O94888,Q8NCK7,1
O94905,Q8NCK7,1
O95273,P55042,1
O95347,Q8NCK7,1
O95433,Q8NCK7,1
O95816,Q8NCK7,1
O95817,Q8NCK7,1
O95831,Q8NCK7,1
O95985,Q8NCK7,1
O96019,Q8NCK7,1
P00367,Q8NCK7,1
P00403,Q8NCK7,1
P01024,Q8NCK7,1
P01889,Q8NCK7,1
P02533,Q8NCK7,1
P02538,Q8NCK7,1
P02545,Q8NCK7,1
P02651,Q63503,1
P02768,Q8NCK7,1
P02786,Q8NCK7,1
P04259,Q8NCK7,1
P04350,Q8NCK7,1
P04843,Q8NCK7,1
P04844,Q8NCK7,1
P04908,Q8NCK7,1
P05023,Q8NCK7,1
P05067,Q8NCK7,1
P05141,Q8NCK7,1
P06213,P31939,1
P06213,P54646,1
P06213,P60709,1
P06213,Q12840,1
P06213,Q14449,1
P06213,Q9P035,1
P06493,Q8NCK7,1
P06576,Q8NCK7,1
P06727,P20393,1
P06730,Q8NCK7,1
P06737,Q8NCK7,1
P07195,Q8NCK7,1
P07197,Q8NCK7,1
P07437,Q8NCK7,1
P07900,Q8NCK7,1
P08195,Q8NCK7,1
P08238,Q8NCK7,1
P08243,Q8NCK7,1
P08670,Q8NCK7,1
P0C0S5,Q8NCK7,1
P0DI81,Q96QF0,1
P0DJI6,Q9R1E0,1
P0DJI6,Q9WVH4,1
P0DTC2,P11021,1
P0DTC2,Q9BYF1,1
P10316,Q8NCK7,1
P11021,Q9BYF1,1
P11142,Q8NCK7,1
P11172,Q8NCK7,1
P11177,Q8NCK7,1
P11881,P38647,1
P11881,Q60932,1
P11881,Q99KR7,1
P11940,Q8NCK7,1
P12004,Q8NCK7,1
P12235,Q8NCK7,1
P12236,Q8NCK7,1
P12268,Q8NCK7,1
P13645,Q8NCK7,1
P13804,Q8NCK7,1
P13995,Q8NCK7,1
P14625,Q8NCK7,1
P15127,Q09137,1
P15127,Q66H80,1
P15127,Q9WV78,1
P15208,Q3UJU9,1
P16615,Q8NCK7,1
P17066,Q8NCK7,1
P17980,Q8NCK7,1
P17987,Q8NCK7,1
P17987,Q9NPJ1,1
P18859,Q8NCK7,1
P19474,Q8NCK7,1
P20020,Q8NCK7,1
P20340,Q8NCK7,1
P20618,Q8NCK7,1
P20671,Q8NCK7,1
P20700,Q8NCK7,1
P21796,P38646,1
P21796,Q14643,1
P21796,Q8NCK7,1
P22102,Q8NCK7,1
P22695,Q8NCK7,1
P23258,Q8NCK7,1
P24539,Q8NCK7,1
P25685,Q8NCK7,1
P25705,Q8NCK7,1
P25786,Q8NCK7,1
P25787,Q8NCK7,1
P25788,Q8NCK7,1
P26196,Q8NCK7,1
P26641,Q8NCK7,1
P27348,Q8NCK7,1
P27708,Q8NCK7,1
P27824,Q8NCK7,1
P27986,Q96EB6,1
P27986,Q9Y4H2,1
P28066,Q8NCK7,1
P28070,Q8NCK7,1
P28072,Q8NCK7,1
P28074,Q8NCK7,1
P28288,Q8NCK7,1
P29401,Q8NCK7,1
P30405,Q14643,1
P30837,Q8NCK7,1
P31689,Q8NCK7,1
P31749,Q14643,1
P31946,Q8NCK7,1
P31948,Q8NCK7,1
P33778,Q8NCK7,1
P33981,Q8NCK7,1
P33993,Q8NCK7,1
P34897,Q8NCK7,1
P35232,Q8NCK7,1
P35568,Q96EB6,1
P35606,Q8NCK7,1
P35613,Q8NCK7,1
P35637,Q8NCK7,1
P35908,Q8NCK7,1
P35998,Q8NCK7,1
P36542,Q8NCK7,1
P36873,Q8NCK7,1
P37231,Q00535,1
P37238,Q923E4,1
P37238,Q96EB6,1
P38435,Q8NCK7,1
P38606,Q8NCK7,1
P38646,Q14643,1
P39656,Q8NCK7,1
P40937,Q8NCK7,1
P40939,Q8NCK7,1
P41223,Q8NCK7,1
P42677,Q8NCK7,1
P42704,Q8NCK7,1
P43487,Q8NCK7,1
P43686,Q8NCK7,1
P45880,Q8NCK7,1
P45954,Q8NCK7,1
P46060,Q8NCK7,1
P46379,Q8NCK7,1
P46977,Q8NCK7,1
P47914,Q8NCK7,1
P48047,Q8NCK7,1
P48356,Q8NFJ9,1
P48382,Q8NCK7,1
P48553,Q96QF0,1
P48643,Q8NCK7,1
P48651,Q8NCK7,1
P49207,Q8NCK7,1
P49454,Q8NCK7,1
P49593,Q8NCK7,1
P49720,Q8NCK7,1
P49721,Q8NCK7,1
P49841,Q14449,1
P50402,Q8NCK7,1
P50454,Q8NCK7,1
P50502,Q8NCK7,1
P50993,Q8NCK7,1
P51570,Q8NCK7,1
P51571,Q8NCK7,1
P51617,Q8NCK7,1
P51648,Q8NCK7,1
P51665,Q8NCK7,1
P51970,Q8NCK7,1
P52429,Q8NCK7,1
P52701,Q8NCK7,1
P52756,Q8NCK7,1
P52789,Q8NCK7,1
P53007,Q8NCK7,1
P53396,Q8NCK7,1
P53618,Q8NCK7,1
P53621,Q8NCK7,1
P53985,Q8NCK7,1
P54652,Q8NCK7,1
P54709,Q8NCK7,1
P55060,Q8NCK7,1
P55072,Q8NCK7,1
P55084,Q8NCK7,1
P55209,Q8NCK7,1
P55258,Q02248,1
P55258,Q9CWF6,1
P55786,Q8NCK7,1
P56524,Q8NCK7,1
P56537,Q8NCK7,1
P56589,Q8NCK7,1
P56726,Q8IWZ6,1
P56726,Q8N3I7,1
P56726,Q8NFJ9,1
P56726,Q96RK4,1
P56962,Q8NCK7,1
P57088,Q8NCK7,1
P57740,Q8NCK7,1
P60228,Q8NCK7,1
P60604,Q8NCK7,1
P61006,Q8NCK7,1
P61006,Q96QF0,1
P61026,Q8NCK7,1
P61163,Q8NCK7,1
P61962,Q8NCK7,1
P61981,Q8NCK7,1
P62136,Q8NCK7,1
P62140,Q8NCK7,1
P62191,Q8NCK7,1
P62195,Q8NCK7,1
P62258,Q8NCK7,1
P62333,Q8NCK7,1
P62491,Q96QF0,1
P62492,Q02248,1
P62492,Q9CWF6,1
P62805,Q8NCK7,1
P62820,Q8NCK7,1
P62873,Q8NCK7,1
P62987,Q8NCK7,1
P63044,P70452,1
P63044,Q60770,1
P63045,Q08850,1
P63098,Q60700,1
P63104,Q8NCK7,1
P63167,Q8NCK7,1
P63173,Q8NCK7,1
P63244,Q8NCK7,1
P67870,P68400,1
P68104,Q8NCK7,1
P68363,Q8NCK7,1
P68366,Q8NCK7,1
P68371,Q8NCK7,1
P68400,Q14449,1
P68431,Q8NCK7,1
