Identifier A,Identifier B,Interaction
P00447,P23337,1
P00812,P38822,1
P00830,P06701,1
P00830,P06843,1
P00830,P12753,1
P00830,P16522,1
P00830,P21304,1
P00830,P22216,1
P00830,P24719,1
P00830,P25342,1
P00830,P32468,1
P00830,P39743,1
P00830,P61829,1
P00830,P81449,1
P00830,Q12446,1
P00927,P25454,1
P02829,P04821,1
P02829,P12753,1
P02829,P15442,1
P02829,P23561,1
P02829,P25638,1
P02829,P32468,1
P02829,P32797,1
P02829,Q08601,1
P03962,P25367,1
P04386,P04387,1
P04807,P25342,1
P04807,P39743,1
P04821,P38272,1
P05453,P30771,1
P05453,P31539,1
P05453,P53617,1
P05453,Q92331,1
P06700,P11978,1
P06700,P54786,1
P06700,Q00684,1
P06701,P09938,1
P06701,P11978,1
P06701,P15992,1
P06701,P17709,1
P06701,P32861,1
P06701,P54786,1
P06778,P25454,1
P06778,Q12306,1
P06782,P11075,1
P06782,P12904,1
P06782,P24719,1
P06782,P40151,1
P06782,P46954,1
P06786,P32458,1
P06786,P34730,1
P06786,P43639,1
P06786,Q12159,1
P06786,Q12306,1
P06843,P16522,1
P06843,P17709,1
P06843,P43639,1
P07270,Q02939,1
P07272,P32796,1
P08638,P16522,1
P08964,Q06410,1
P09201,Q00582,1
P09798,P16522,1
P09798,P38042,1
P09798,P53886,1
P09798,Q12440,1
P09938,P21524,1
P0C0X0,P39998,1
P10862,P21264,1
P10862,P32849,1
P10862,P57743,1
P11075,P14291,1
P11746,Q12020,1
P11978,P15992,1
P11978,P34730,1
P11978,P54786,1
P12753,P16474,1
P12753,P32829,1
P12753,P32908,1
P12753,P46946,1
P12753,Q04477,1
P12904,P34730,1
P12904,P43639,1
P12904,P47129,1
P12904,Q00684,1
P14291,P20050,1
P14291,P31111,1
P14291,P50623,1
P14291,Q12306,1
P14741,P15992,1
P14741,P21264,1
P14741,P32505,1
P14741,P40089,1
P14741,P47017,1
P14741,Q12329,1
P14904,P15992,1
P14904,P19262,1
P15873,P17709,1
P15873,P43605,1
P15992,P16649,1
P15992,P21304,1
P15992,P25342,1
P15992,P32458,1
P15992,P32468,1
P15992,P39928,1
P15992,Q00684,1
P15992,Q04477,1
P16474,P22216,1
P16474,P24719,1
P16474,P32361,1
P16474,P32797,1
P16474,P39743,1
P16474,P41695,1
P16474,Q04477,1
P16522,P33419,1
P16522,P38042,1
P16522,P53886,1
P16522,Q12440,1
P16649,Q02100,1
P17065,P32389,1
P17106,P22216,1
P17106,P32389,1
P17106,P32504,1
P17106,P40969,1
P17106,Q06675,1
P17555,P39743,1
P17709,P25342,1
P17709,P38272,1
P17709,P39743,1
P17709,Q00684,1
P19262,P20967,1
P19262,P38822,1
P19262,P39743,1
P19262,Q06410,1
P19262,Q12306,1
P21264,P53895,1
P21304,P32908,1
P21374,P32523,1
P21374,Q03654,1
P21374,Q04048,1
P21524,Q08601,1
P22216,P32797,1
P22216,P34730,1
P22216,P40969,1
P22216,P47037,1
P22804,Q03860,1
P23337,P47011,1
P23561,P32917,1
P23561,P41697,1
P23561,P47017,1
P24279,P29469,1
P24279,Q12306,1
P24719,Q12329,1
P25293,Q12159,1
P25293,Q12263,1
P25342,P32458,1
P25342,P32468,1
P25342,P34730,1
P25342,Q12263,1
P25454,P50623,1
P25454,Q12306,1
P26343,Q04411,1
P27515,P47115,1
P27515,Q12084,1
P27515,Q12306,1
P27895,P39723,1
P28743,P33419,1
P28795,P80667,1
P29340,Q05568,1
P29469,Q12306,1
P30771,P47017,1
P30822,P32618,1
P30822,P39723,1
P30822,P39998,1
P30822,P47129,1
P30822,Q12390,1
P31111,Q12306,1
P32458,P32468,1
P32458,P50623,1
P32458,P54786,1
P32458,Q04921,1
P32458,Q12134,1
P32458,Q12263,1
P32458,Q12329,1
P32468,P38272,1
P32468,P38339,1
P32468,P38785,1
P32468,P40460,1
P32468,Q04477,1
P32468,Q12263,1
P32523,Q03654,1
P32523,Q04048,1
P32618,P47037,1
P32618,P53253,1
P32618,Q03954,1
P32618,Q07457,1
P32628,Q02939,1
P32639,P57743,1
P32796,P35056,1
P32796,P40202,1
P32797,Q12306,1
P32829,P46946,1
P32829,P53971,1
P32861,P39743,1
P32861,P40316,1
P32861,Q12446,1
P32908,P36094,1
P32908,P40460,1
P32908,P40957,1
P32908,P47037,1
P32908,P53253,1
P32908,Q03954,1
P32908,Q04477,1
P32908,Q07457,1
P32908,Q12306,1
P33338,P39743,1
P33338,Q12134,1
P33338,Q12446,1
P33419,P36094,1
P33419,P38822,1
P33419,P52891,1
P33419,Q06410,1
P33419,Q12365,1
P33420,P38822,1
P33420,P38930,1
P33420,P40460,1
P33420,Q06410,1
P34730,P39928,1
P34730,Q00684,1
P34730,Q03898,1
P35056,P53112,1
P35056,P80667,1
P35191,P38523,1
P35191,P39743,1
P35191,P40054,1
P36036,Q12159,1
P36068,P38272,1
P36068,P40485,1
P36068,P53971,1
P38042,P53886,1
P38042,Q12440,1
P38147,P40054,1
P38147,P40316,1
P38147,P47017,1
P38247,Q00582,1
P38339,Q05080,1
P38339,Q12446,1
P38523,Q05580,1
P38523,Q06410,1
P38748,P53253,1
P38785,P54786,1
P38785,Q05080,1
P38822,P39996,1
P38822,P43605,1
P38822,P53184,1
P38822,Q00582,1
P38822,Q04048,1
P38822,Q06704,1
P38822,Q12154,1
P38822,Q12446,1
P38853,P39723,1
P38874,P42935,1
P38874,Q02884,1
P38874,Q02908,1
P38874,Q04868,1
P38874,Q06706,1
P38930,P43639,1
P39007,P41543,1
P39007,P46964,1
P39081,Q06410,1
P39081,Q12102,1
P39081,Q12159,1
P39113,P46954,1
P39723,Q06440,1
P39743,P39928,1
P39743,P40325,1
P39743,P47129,1
P39743,Q12134,1
P39743,Q12446,1
P39929,P52917,1
P39929,P80667,1
P39929,Q12033,1
P39996,P40582,1
P39998,Q12020,1
P40054,Q05580,1
P40073,Q03790,1
P40073,Q05080,1
P40073,Q12446,1
P40089,P47017,1
P40089,P57743,1
P40316,P52891,1
P40460,Q03954,1
P40460,Q04477,1
P40582,Q12066,1
P40963,Q04003,1
P40969,P50623,1
P41543,P46964,1
P41921,P52891,1
P42935,Q02884,1
P42935,Q02908,1
P42935,Q04868,1
P42935,Q06706,1
P47017,P57743,1
P47025,P54861,1
P47037,Q07457,1
P47095,Q06410,1
P48361,Q03818,1
P50623,Q12306,1
P52917,Q12033,1
P53112,P80667,1
P53112,Q12334,1
P53886,Q12440,1
P80667,Q05568,1
Q00684,Q12329,1
Q02884,Q02908,1
Q02884,Q04868,1
Q02884,Q06706,1
Q02908,Q04868,1
Q02908,Q06706,1
Q02939,Q3E7C1,1
Q03654,Q04048,1
Q03654,Q06410,1
Q03790,Q06169,1
Q03818,Q12306,1
Q03954,Q12263,1
Q04868,Q06706,1
Q05080,Q06410,1
Q05080,Q12446,1
Q05791,Q06708,1
Q06169,Q12066,1
Q07457,Q08581,1
Q08601,Q12329,1
Q12329,Q12446,1
Q12446,Q92331,1
P00830,P00927,0
P00830,P04807,0
P00830,P10862,0
P00830,P19262,0
P00830,P32523,0
P00830,P46964,0
P00830,P53184,0
P00830,P53971,0
P00830,Q05080,0
P00830,Q12263,0
P00830,Q12329,0
P00830,Q12440,0
P00927,P32458,0
P02829,P06786,0
P02829,P11978,0
P02829,P46954,0
P03962,P39743,0
P04386,P16474,0
P04386,P19262,0
P04387,P14741,0
P04807,P32908,0
P04807,P38930,0
P04807,Q12334,0
P04821,P32908,0
P04821,P38874,0
P04821,P54786,0
P04821,Q12306,0
P05453,P29469,0
P05453,P32829,0
P05453,P32908,0
P06700,P38147,0
P06701,P06786,0
P06701,P16522,0
P06701,P23561,0
P06701,P80667,0
P06701,Q06706,0
P06778,P14741,0
P06782,P16474,0
P06782,P17106,0
P06782,P19262,0
P06782,P23561,0
P06782,P32504,0
P06782,P34730,0
P06782,P39743,0
P06786,P14741,0
P06786,P16522,0
P06786,P40316,0
P06786,P52917,0
P06843,P32468,0
P06843,P39723,0
P07270,Q05568,0
P08638,P38822,0
P08638,P40969,0
P09798,P32458,0
P09798,P39007,0
P09798,P47095,0
P09798,P54786,0
P09798,P57743,0
P09798,Q03954,0
P09938,P36036,0
P09938,P38822,0
P10862,P16649,0
P10862,P32861,0
P10862,Q03818,0
P11075,P39928,0
P11075,Q12306,0
P11746,P38822,0
P11746,Q03954,0
P11978,P16474,0
P11978,P22216,0
P11978,Q02884,0
P11978,Q04868,0
P11978,Q05080,0
P11978,Q12306,0
P12753,P32458,0
P12753,Q05080,0
P12753,Q12390,0
P12904,P15873,0
P12904,P21264,0
P12904,P32861,0
P12904,P36068,0
P12904,P54786,0
P12904,Q06708,0
P12904,Q12306,0
P12904,Q12329,0
P14291,P16474,0
P14291,P32468,0
P14291,P32861,0
P14291,P33338,0
P14291,P39743,0
P14291,P46954,0
P14291,Q04868,0
P14741,P35056,0
P14741,P39996,0
P14741,Q12306,0
P14904,P27515,0
P15873,P17106,0
P15873,P25342,0
P15873,Q05568,0
P15992,P19262,0
P15992,P32908,0
P15992,P38523,0
P15992,P50623,0
P15992,P53971,0
P15992,Q12263,0
P16474,P20050,0
P16474,P32468,0
P16474,P40151,0
P16474,P40460,0
P16474,P50623,0
P16474,P54786,0
P16474,Q12446,0
P16522,P32523,0
P16522,P33420,0
P16522,P38853,0
P16649,P39113,0
P16649,P41697,0
P16649,Q12390,0
P17065,P22216,0
P17065,Q07457,0
P17106,P19262,0
P17106,P25293,0
P17106,P32468,0
P17106,P32639,0
P17106,P43639,0
P17106,P53184,0
P17106,Q03654,0
P17106,Q04477,0
P17106,Q04868,0
P17709,P32458,0
P17709,P39723,0
P17709,Q03954,0
P19262,P32458,0
P19262,P38874,0
P19262,P40957,0
P19262,P43639,0
P20050,P38272,0
P20050,Q04921,0
P20967,P32628,0
P20967,P57743,0
P21264,P30822,0
P22216,P25454,0
P22216,P38822,0
P22216,P40460,0
P22216,P52917,0
P22216,Q07457,0
P22216,Q12159,0
P23337,P32468,0
P23337,P40054,0
P23561,P38822,0
P23561,P46954,0
P24279,P39996,0
P24719,P30822,0
P24719,P36068,0
P24719,P50623,0
P24719,Q12306,0
P25293,P30822,0
P25293,Q03790,0
P25293,Q92331,0
P25342,P27515,0
P25342,P32618,0
P25342,P40054,0
P25342,Q03654,0
P25342,Q03954,0
P25342,Q04868,0
P25367,P40325,0
P25454,P46954,0
P25454,Q07457,0
P25638,P43605,0
P26343,P38247,0
P27515,P40582,0
P27515,Q06169,0
P28743,P32829,0
P28743,P47025,0
P28743,Q12159,0
P29469,Q12440,0
P30771,P39743,0
P30771,Q12306,0
P30822,P46946,0
P31111,P32505,0
P31111,P46946,0
P32361,P46954,0
P32361,Q05080,0
P32389,P39928,0
P32458,P47037,0
P32458,Q03654,0
P32458,Q04868,0
P32458,Q12159,0
P32458,Q12306,0
P32468,P39743,0
P32468,P43605,0
P32468,P47017,0
P32468,P53886,0
P32468,Q06410,0
P32468,Q12306,0
P32504,Q03654,0
P32523,P38147,0
P32523,P40963,0
P32523,P46954,0
P32618,P32797,0
P32618,P32861,0
P32618,P43639,0
P32618,Q02884,0
P32628,P38822,0
P32796,P47011,0
P32797,P32908,0
P32797,Q03954,0
P32829,Q03954,0
P32849,P39723,0
P32849,P41921,0
P32861,Q06410,0
P32908,P33420,0
P32908,P38785,0
P32908,P40485,0
P32908,P43639,0
P32908,P47017,0
P32908,Q12446,0
P32917,Q04048,0
P33338,P47017,0
P33338,Q03818,0
P33419,P33420,0
P33419,Q02939,0
P33419,Q12306,0
P33420,P38785,0
P33420,P40582,0
P33420,P43639,0
P33420,Q04477,0
P33420,Q06706,0
P33420,Q12306,0
P34730,Q03818,0
P35056,P47017,0
P35056,Q12159,0
P35191,P40316,0
P36036,P52891,0
P36068,P52891,0
P36094,P47037,0
P38042,P39743,0
P38042,P39996,0
P38042,P53253,0
P38042,Q00582,0
P38147,P47037,0
P38147,Q12306,0
P38247,P39743,0
P38272,P43605,0
P38272,Q12329,0
P38339,P54786,0
P38523,P46954,0
P38523,Q02939,0
P38523,Q04477,0
P38748,Q12033,0
P38785,P39743,0
P38785,Q07457,0
P38822,P40073,0
P38822,P47115,0
P38822,P54786,0
P38822,Q00684,0
P38822,Q04477,0
P38822,Q05568,0
P38853,Q12440,0
P38874,P80667,0
P38874,Q12159,0
P38930,P39113,0
P39081,Q12329,0
P39723,P39743,0
P39723,Q04048,0
P39723,Q06706,0
P39723,Q12066,0
P39743,Q00684,0
P39743,Q03654,0
P39743,Q06706,0
P39743,Q12329,0
P39929,Q02884,0
P39929,Q04048,0
P39996,Q03790,0
P39998,P40202,0
P39998,P47011,0
P39998,Q12390,0
P40054,Q12020,0
P40054,Q12306,0
P40054,Q92331,0
P40073,P42935,0
P40202,P47017,0
P40316,Q04921,0
P40460,Q02908,0
P40460,Q12329,0
P40582,P40969,0
P40582,P53112,0
P40582,Q05580,0
P40582,Q06410,0
P40957,P46954,0
P40969,Q02908,0
P41543,Q05791,0
P41697,Q12334,0
P41921,Q05080,0
P42935,Q03954,0
P43605,Q3E7C1,0
P43639,P54786,0
P46954,Q12306,0
P46964,P53253,0
P47011,Q12329,0
P47025,Q12134,0
P47037,P57743,0
P47037,Q12306,0
P47115,Q03790,0
P47129,P52891,0
P50623,Q06410,0
P52917,Q06169,0
P53253,Q04477,0
P53253,Q07457,0
P53253,Q12446,0
P53886,Q06706,0
P53886,Q12446,0
P53895,Q12329,0
P57743,Q12033,0
P80667,Q12306,0
P80667,Q12446,0
Q00582,Q03654,0
Q00582,Q12159,0
Q00684,Q02884,0
Q02908,Q07457,0
Q02908,Q12446,0
Q03818,Q04477,0
Q03818,Q12066,0
Q03954,Q12159,0
Q04048,Q12446,0
Q04477,Q05568,0
Q04868,Q05080,0
Q05080,Q07457,0
Q05568,Q12329,0
Q06169,Q12306,0
Q12066,Q12306,0
Q12154,Q12159,0
Q12263,Q12440,0
Q12306,Q12446,0
