Identifier A,Identifier B,Interaction
P00447,P23337,1
P00447,P28795,0
P40161,P00447,0
P00447,P41543,0
P00447,Q05568,0
P38822,P00812,1
P06701,P00830,1
P06843,P00830,1
P12753,P00830,1
P16522,P00830,1
P21304,P00830,1
P22216,P00830,1
P00830,P22804,0
P00830,P23542,0
P24719,P00830,1
P25293,P00830,0
P00830,P25342,1
P32468,P00830,1
P00830,P38821,0
P39743,P00830,1
P40957,P00830,0
P00830,P53184,0
P00830,P61829,1
P00830,P81449,1
P00830,Q03860,0
Q12446,P00830,1
P00927,P25454,1
P04821,P02829,1
P02829,P12753,1
P15442,P02829,1
P23561,P02829,1
P02829,P25638,1
P02829,P32468,1
P32797,P02829,1
Q08601,P02829,1
P03069,P14904,0
P03069,P28795,0
P03069,P80667,0
P03962,P25367,1
P04387,P04386,1
P04386,Q12154,0
P25342,P04807,1
P39743,P04807,1
P04821,P38272,1
P30771,P05453,1
P05453,P31539,1
P53617,P05453,1
P05453,Q92331,1
P11978,P06700,1
P06700,P54786,1
Q00684,P06700,1
P06701,P09938,1
P06701,P11075,0
P11978,P06701,1
P06701,P15992,1
P06701,P17709,1
P32861,P06701,1
P06701,P40582,0
P06701,P53129,0
P06701,P53163,0
P54786,P06701,1
P06701,Q05568,0
P06701,Q12191,0
P06701,Q12462,0
P25454,P06778,1
P06778,P28795,0
P06778,P29340,0
P06778,P32796,0
P06778,P38072,0
P06778,Q12306,1
P11075,P06782,1
P12904,P06782,1
P06782,P24719,1
P39723,P06782,0
P06782,P40151,1
P06782,P46954,1
P32458,P06786,1
P06786,P34730,1
P06786,P38072,0
P06786,P38247,0
P43639,P06786,1
P06786,P53184,0
P06786,Q03860,0
P06786,Q05568,0
Q12159,P06786,1
P06786,Q12306,1
Q92331,P06786,0
P06843,P16522,1
P17709,P06843,1
P06843,P43639,1
P07270,Q02939,1
P07272,P29340,0
P07272,P32796,1
P07272,P53184,0
P07272,P53633,0
P16522,P08638,1
P08638,P53112,0
P08638,P53184,0
Q12365,P08638,0
P08964,Q06410,1
P09201,Q00582,1
P16522,P09798,1
P38042,P09798,1
P53886,P09798,1
P09798,Q12440,1
P21524,P09938,1
P09938,P35056,0
P09938,P41543,0
P0C0X0,P39998,1
P10862,P21264,1
P32849,P10862,1
P38822,P10862,0
P10862,P57743,1
P11075,P14291,1
P11075,P28795,0
P30822,P11075,0
P38198,P11075,0
P38272,P11075,0
P81449,P11075,0
Q12159,P11075,0
P11746,P23542,0
P11746,P53112,0
P11746,P53184,0
P11746,Q12020,1
P15992,P11978,1
P11978,P22804,0
P11978,P23542,0
P11978,P28795,0
P11978,P29340,0
P11978,P34730,1
P11978,P35056,0
P11978,P38523,0
P11978,P46964,0
P54786,P11978,1
P11978,Q00582,0
P12383,P53163,0
P12383,Q05568,0
P12753,P16474,1
P32829,P12753,1
P32908,P12753,1
P12753,P46946,1
Q04477,P12753,1
P12904,P17065,0
P32917,P12904,0
P34730,P12904,1
P12904,P35056,0
P12904,P43639,1
P47129,P12904,1
P12904,P53184,0
P12904,Q00684,1
P20050,P14291,1
P14291,P28795,0
P31111,P14291,1
P35056,P14291,0
P50623,P14291,1
P14291,P53112,0
P14291,P53129,0
Q12306,P14291,1
P27895,P14682,0
P15992,P14741,1
P14741,P21264,1
P14741,P32505,1
P40089,P14741,1
P14741,P47017,1
P14741,Q12329,1
P14904,P15992,1
P19262,P14904,1
P46964,P14904,0
Q92331,P14904,0
P15873,P17709,1
P15873,P23542,0
P15873,P35056,0
P15873,P39007,0
P43605,P15873,1
P15873,Q06704,0
P16649,P15992,1
P15992,P21304,1
P15992,P25342,1
P15992,P32458,1
P32468,P15992,1
P15992,P39928,1
Q00684,P15992,1
P15992,Q04477,1
P17106,P16474,0
P22216,P16474,1
P16474,P24719,1
P32361,P16474,1
P16474,P32797,1
P39113,P16474,0
P39743,P16474,1
P16474,P41695,1
P16474,Q04477,1
P33419,P16522,1
P38042,P16522,1
P16522,P53112,0
P53886,P16522,1
P16522,Q03860,0
P16522,Q07540,0
Q12440,P16522,1
P47025,P16649,0
Q02100,P16649,1
P20050,P17065,0
P17065,P23542,0
