Identifier A,Identifier B,Interaction
P09798,P09798,1
P05453,P05453,1
P53886,P53886,1
P16522,P16522,1
P06701,P06701,1
P38930,P38930,1
Q04921,Q04921,1
P19736,P19736,1
P38042,P38042,1
P43639,P43639,1
P11978,P11978,1
P21182,P21182,1
P17555,P17555,1
Q12060,Q12060,1
P08524,P08524,1
P21264,P21264,1
P00812,P00812,1
P32459,P32459,1
P21705,P21705,1
P38122,P38122,1
P51601,P51601,1
Q06549,Q06549,1
P38986,P38986,1
P00927,P00927,1
P40073,P40073,1
P40054,P40054,1
P23337,P23337,1
P05373,P05373,1
P53226,P53226,1
P38795,P38795,1
P12383,P12383,1
P48361,P48361,1
P17423,P17423,1
P32505,P32505,1
P08536,P08536,1
P06700,P06700,1
P04387,P04387,1
P38274,P38274,1
P21374,P21374,1
P38862,P38862,1
P38785,P38785,1
P33420,P33420,1
P48581,P48581,1
P32628,P32628,1
P38147,P38147,1
Q92331,Q92331,1
P32849,P32849,1
P10862,P10862,1
P40202,P40202,1
Q00684,Q00684,1
Q02100,Q02100,1
P26343,P26343,1
P39928,P39928,1
Q06704,Q06704,1
P54861,P54861,1
P46954,P46954,1
P43569,P43569,1
P04386,P04386,1
P40969,P40969,1
P39113,P39113,1
P43609,P43609,1
Q12446,Q12446,1
P35210,P35210,1
P14741,P14741,1
P47011,P47011,1
Q00582,Q00582,1
P14904,P14904,1
P35719,P35719,1
P53081,P53081,1
P32263,P32263,1
P46946,P46946,1
Q12020,Q12020,1
P38871,P38871,1
P32318,P32318,1
P41835,P41835,1
P50623,P50623,1
Q12066,Q12066,1
Q99288,Q99288,1
P53215,P53215,1
P53238,P53238,1
P38744,P38744,1
P47095,P47095,1
Q12358,Q12358,1
P38820,P38820,1
P38889,P38889,1
P53093,P53093,1
Q04048,Q04048,1
P34730,P34730,1
Q03898,Q03898,1
Q12365,Q12365,1
P32504,P32504,1
P53971,P53971,1
P41921,P41921,1
P15992,P15992,1
P19262,P19262,1
Q12514,Q12514,1
P40316,P40316,1
P38748,P38748,1
P40473,P40473,1
Q04461,Q04461,1
P38198,P38198,1
Q12263,Q12263,1
Q12159,Q12159,1
P36036,P36036,1
Q12329,Q12329,1
P35191,P35191,1
P21524,P21524,1
P53163,P53163,1
P02829,P02829,1
P07270,P07270,1
P21304,P21304,1
P21651,P21651,1
P11075,P11075,1
P40574,P40574,1
Q05580,Q05580,1
Q04411,Q04411,1
P43605,P43605,1
P09938,P09938,1
P81449,P81449,1
P47025,P47025,1
P38072,P38072,1
P32479,P32479,1
P40963,P40963,1
Q04003,Q04003,1
P37303,P37303,1
P20967,P20967,1
P47017,P47017,1
P57743,P57743,1
P40089,P40089,1
