Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
A0FGR8,0.05971769815418024,0.0738327904451683,0.03691639522258415,0.051031487513572206,0.009771986970684038,0.04451682953311618,0.05863192182410423,0.07600434310532031,0.0249728555917481,0.051031487513572206,0.1248642779587405,0.05646036916395222,0.014115092290988056,0.033659066232356136,0.06623235613463627,0.08251900108577633,0.04343105320304017,0.013029315960912053,0.01520086862106406,0.06406080347448426,8,12,2,1,6,4,0,13,18,11,7,6,4,0,2,8,5,5,4,1,0,3,7,3,0,0,3,0,8,9,4,2,1,5,2,2,7,2,2,2,4,0,1,0,0,0,0,0,0,9,16,8,4,13,4,0,13,14,10,13,6,7,0,5,17,8,3,6,3,1,9,9,6,3,5,7,1,2,6,5,5,3,4,0,1,11,5,6,1,3,2,0,0,0,0,0,0,0,2,13,4,5,1,3,0,12,6,7,9,3,6,0,5,6,3,4,3,2,0,4,2,4,3,3,1,0,6,4,1,1,8,1,0,1,2,1,1,2,1,0,0,0,0,1,0,0,0,7,10,2,2,4,4,1,5,3,3,4,5,3,0,4,5,4,3,4,0,0,2,2,1,2,1,2,0,3,4,0,3,2,0,1,1,5,2,0,2,3,0,0,1,0,0,0,0,0,7,5,8,2,3,2,0,8,5,5,4,3,3,0,4,3,1,1,3,1,0,5,2,4,0,3,0,0,5,3,1,2,3,3,1,4,5,2,0,3,2,0,1,2,0,1,0,0,0,0,2,1,1,3,2,0,3,16,6,3,1,6,0,8,4,2,1,1,1,0,5,1,2,1,1,0,0,3,2,2,1,1,3,0,0,5,5,1,2,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.85,-0.5065217391304347,-0.8260869565217391,-0.8065217391304348,-1.3228260869565218,-0.4217391304347826,-0.5576086956521739,-1.275,-0.6239130434782608,-1.0293478260869566,-0.9706521739130435,-0.38913043478260867,-0.6358695652173914,-1.0,-0.7717391304347826,-0.2717391304347826,-0.4673913043478261,-1.983695652173913,-1.0260869565217392,-0.7782608695652173
A1L0T0,0.11550632911392406,0.061708860759493674,0.02689873417721519,0.04430379746835443,0.01740506329113924,0.04746835443037975,0.04430379746835443,0.09177215189873418,0.023734177215189875,0.03164556962025317,0.125,0.03322784810126582,0.0189873417721519,0.0379746835443038,0.058544303797468354,0.04588607594936709,0.04113924050632911,0.012658227848101266,0.014240506329113924,0.10759493670886076,20,23,7,6,7,5,0,17,13,12,4,3,3,0,13,3,2,3,1,1,0,3,3,3,1,2,4,0,5,6,1,3,2,2,0,8,2,0,4,3,0,0,2,1,0,0,1,0,0,11,9,4,4,6,4,1,7,13,10,4,6,4,2,8,9,2,5,0,5,0,6,4,2,2,1,1,0,4,3,1,3,1,2,2,3,3,2,1,1,1,1,0,1,0,1,0,0,0,11,6,3,1,1,3,2,5,7,3,3,2,0,0,3,2,0,1,0,0,0,5,1,3,0,0,3,0,1,0,0,1,0,0,0,2,1,2,0,1,2,0,0,0,0,0,0,0,0,10,4,2,3,1,3,0,4,6,1,1,1,1,0,3,3,0,2,0,1,0,2,2,0,1,1,0,0,4,1,1,1,0,1,0,2,3,0,0,4,1,0,0,0,0,0,0,0,0,6,4,5,0,2,0,0,4,3,2,2,1,3,0,0,3,1,0,0,1,0,4,2,1,1,3,1,0,2,1,0,0,0,0,0,3,0,0,0,1,0,1,0,2,0,1,0,0,0,7,5,1,2,2,2,1,1,3,1,2,1,1,0,0,0,1,1,1,0,0,2,2,0,0,1,1,0,1,4,2,3,0,0,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001584786053882726,-1.1410459587955626,-1.1648177496038035,-1.323296354992076,-1.803486529318542,-0.8716323296354992,-1.1045958795562598,-1.12202852614897,-0.9286846275752774,-0.9825673534072901,-0.8526148969889065,-1.323296354992076,-0.919175911251981,-1.2583201267828843,-1.2091917591125199,-0.6196513470681458,-0.652931854199683,-1.9255150554675118,-1.3613312202852614,-0.7194928684627575
A2A2Q9,0.06281407035175879,0.05527638190954774,0.04020100502512563,0.03768844221105527,0.02512562814070352,0.04020100502512563,0.07035175879396985,0.05527638190954774,0.02763819095477387,0.04522613065326633,0.11809045226130653,0.052763819095477386,0.03015075376884422,0.052763819095477386,0.06532663316582915,0.0728643216080402,0.05025125628140704,0.01256281407035176,0.02763819095477387,0.05778894472361809,2,1,2,0,4,5,0,3,8,3,2,0,3,1,2,2,4,0,1,1,0,1,0,0,0,0,0,0,0,3,2,1,0,3,0,1,2,5,3,1,1,0,0,1,0,0,1,0,0,3,6,4,0,2,4,2,4,5,3,8,4,6,1,3,6,3,4,1,0,1,2,5,1,2,3,2,0,1,3,2,0,2,1,0,6,2,7,1,0,0,0,1,0,0,0,0,0,1,6,2,2,1,1,2,0,4,8,3,1,1,3,0,3,5,2,3,1,0,0,2,2,2,2,4,0,0,2,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,2,4,4,1,1,1,0,1,3,1,1,1,1,0,1,2,2,1,1,1,0,0,1,3,3,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,3,1,4,1,3,1,0,2,1,2,2,0,1,0,0,2,0,3,0,1,0,1,1,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,1,0,0,5,2,0,0,2,0,5,3,1,1,0,2,0,3,3,2,1,1,1,1,0,2,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.48614609571788414,-0.7506297229219143,-0.7279596977329975,-0.982367758186398,-1.526448362720403,-0.3929471032745592,-0.5088161209068011,-1.4030226700251889,-0.8564231738035264,-0.9924433249370277,-0.8035264483627204,-0.5566750629722922,-0.5314861460957179,-0.982367758186398,-1.0780856423173804,-0.19899244332493704,-0.3929471032745592,-1.8841309823677581,-0.8211586901763224,-0.8816120906801007
A2A935,0.06745098039215686,0.04784313725490196,0.03294117647058824,0.058823529411764705,0.027450980392156862,0.03529411764705882,0.08235294117647059,0.06745098039215686,0.034509803921568626,0.03137254901960784,0.08235294117647059,0.06588235294117648,0.021176470588235293,0.042352941176470586,0.09568627450980392,0.09411764705882353,0.04627450980392157,0.00392156862745098,0.02588235294117647,0.03686274509803922,11,10,9,6,6,3,0,10,13,12,4,6,6,3,13,6,9,6,2,4,0,3,3,2,9,2,0,0,6,7,5,0,3,5,0,3,4,8,2,6,4,2,0,1,1,1,1,2,0,10,15,8,2,7,10,0,15,30,18,12,5,7,1,8,27,11,5,10,6,0,5,8,9,6,7,4,2,8,3,4,0,6,5,1,3,13,10,1,2,10,0,2,1,1,1,1,1,0,13,13,11,3,1,4,0,11,19,19,8,3,6,0,8,12,9,9,3,5,1,4,6,5,7,1,1,0,3,7,2,4,3,6,3,3,8,5,3,2,5,0,2,0,0,0,0,0,0,3,8,1,2,1,3,1,4,12,4,7,1,3,0,5,5,7,1,6,2,0,4,7,6,0,5,3,0,4,4,2,4,4,1,1,1,2,1,2,0,3,2,1,1,1,0,1,0,0,3,3,4,4,7,5,3,7,6,8,6,1,7,2,2,5,3,1,2,2,0,0,4,0,3,4,0,2,3,6,1,3,2,4,0,5,1,6,1,5,4,2,0,1,1,1,2,2,0,4,5,6,1,3,3,2,5,6,6,1,9,10,1,8,11,7,2,3,6,0,3,2,4,0,1,1,0,5,7,0,1,0,3,2,7,8,7,1,1,16,3,0,2,2,0,2,3,0,1,0,1,1,1,1,0,0,2,0,2,2,0,0,1,0,1,0,2,1,1,0,1,0,0,0,2,0,0,3,2,1,1,0,0,2,2,0,1,2,1,0,0,0,0,0,0,0,0,-2.10989010989011,-0.7362637362637363,-1.696232339089482,-2.3006279434850865,-0.8343799058084772,-0.6640502354788069,-1.0839874411302983,-2.3838304552590266,0.4552590266875981,-2.5486656200941917,-2.3320251177394034,-0.41836734693877553,-2.1138147566718994,-2.30298273155416,-1.8751962323390894,-0.6169544740973313,-1.1899529042386185,-3.497645211930926,-1.815541601255887,-2.4207221350078494
A2AEA2,0.09946236559139784,0.08064516129032258,0.013440860215053764,0.056451612903225805,0.024193548387096774,0.06182795698924731,0.06989247311827956,0.08333333333333333,0.024193548387096774,0.021505376344086023,0.09408602150537634,0.026881720430107527,0.021505376344086023,0.01881720430107527,0.051075268817204304,0.06989247311827956,0.06989247311827956,0.024193548387096774,0.03494623655913978,0.053763440860215055,6,6,6,2,2,2,0,7,0,2,1,2,2,0,3,5,2,3,0,2,0,2,1,3,0,2,1,1,3,6,1,1,0,1,1,1,3,2,3,1,1,0,0,0,1,0,0,0,0,6,4,2,1,2,2,0,1,5,2,2,2,2,0,5,4,0,1,2,3,0,2,0,2,1,1,2,0,2,1,2,0,1,0,0,4,0,1,2,0,1,1,0,0,0,0,0,0,0,5,0,2,2,5,4,0,3,7,2,2,0,2,0,2,1,0,1,3,0,0,0,0,4,1,0,2,1,0,2,1,3,2,0,0,2,3,1,1,3,2,0,2,0,1,0,0,0,0,1,0,3,1,0,0,0,3,0,3,0,0,0,0,2,3,2,2,2,4,3,0,0,4,0,0,0,0,0,1,0,1,1,0,0,3,1,2,1,0,1,0,0,0,1,0,1,0,0,2,2,0,1,0,2,0,1,2,3,3,0,3,0,1,0,1,0,1,1,0,0,3,2,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,2,1,2,3,1,1,2,0,3,0,2,0,0,3,2,0,1,0,2,0,1,2,3,1,0,2,0,2,0,0,1,0,1,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8247978436657682,-0.9622641509433962,-1.0700808625336926,-1.307277628032345,-2.3773584905660377,-0.5040431266846361,-0.7250673854447439,-1.3315363881401616,-1.0754716981132075,-1.3423180592991915,-0.9757412398921833,-1.0026954177897573,-1.0350404312668464,-1.307277628032345,-1.2506738544474394,-0.3045822102425876,-0.3881401617250674,-1.8059299191374663,-1.1940700808625337,-0.8814016172506739
A5PL33,0.0825242718446602,0.07184466019417475,0.011650485436893204,0.03203883495145631,0.02621359223300971,0.04660194174757282,0.06310679611650485,0.1145631067961165,0.02912621359223301,0.009708737864077669,0.10194174757281553,0.027184466019417475,0.005825242718446602,0.009708737864077669,0.16213592233009708,0.11067961165048544,0.039805825242718446,0.01650485436893204,0.003883495145631068,0.03495145631067961,14,16,7,7,6,6,1,16,18,8,7,6,8,2,11,8,4,2,1,2,1,7,12,4,1,2,0,1,4,9,5,4,3,3,1,6,11,4,1,3,2,0,2,0,2,1,0,0,0,12,14,7,9,9,9,1,16,26,17,7,9,9,3,12,13,10,7,1,3,0,4,9,3,3,5,1,1,5,6,4,3,3,6,1,7,9,2,4,9,3,0,1,3,1,4,0,1,0,14,13,3,3,7,3,0,11,14,13,4,2,2,0,10,8,10,0,0,2,3,3,2,4,2,1,2,0,3,2,3,1,2,0,0,3,3,5,0,0,0,1,0,1,3,1,0,0,0,9,9,2,4,2,3,0,4,13,4,3,3,6,0,3,4,2,2,5,0,1,3,1,2,0,1,0,1,1,5,0,3,0,1,0,1,1,2,1,1,0,0,1,1,2,0,0,0,0,3,6,3,2,1,1,2,9,5,0,1,5,5,4,3,7,2,0,0,3,0,6,2,3,1,1,1,0,2,2,2,2,1,1,0,5,3,0,4,1,0,0,0,0,2,0,0,0,0,4,5,7,2,4,3,1,5,10,3,3,3,2,1,3,3,2,2,3,1,0,5,3,1,1,0,1,0,3,5,2,1,1,2,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,1,1,0,2,0,1,3,3,1,1,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2662779397473275,-0.4392614188532556,-1.0670553935860059,-1.0038872691933916,-2.3391642371234207,0.17589893100097181,-0.06025267249757046,-0.5306122448979592,-0.8134110787172012,-1.813411078717201,-1.3605442176870748,-0.33430515063168126,-1.2448979591836735,-2.183673469387755,2.3634596695821184,0.8134110787172012,0.4518950437317784,-2.8658892128279883,-1.6277939747327503,-0.9650145772594753
A8MTZ0,0.07608695652173914,0.043478260869565216,0.043478260869565216,0.03260869565217391,0.010869565217391304,0.07608695652173914,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.11956521739130435,0.11956521739130435,0.07608695652173914,0.021739130434782608,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.0,0.0,0.043478260869565216,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,3,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38461538461538464,-0.3956043956043956,-0.7252747252747253,-1.065934065934066,-1.934065934065934,0.12087912087912088,-0.10989010989010989,-1.7802197802197801,-1.164835164835165,-1.1758241758241759,-0.9230769230769231,0.0,-0.26373626373626374,-1.879120879120879,-1.021978021978022,-0.25274725274725274,-0.3626373626373626,-2.5274725274725274,-1.5934065934065933,-0.9010989010989011
B1ANR0,0.11219512195121951,0.06016260162601626,0.04227642276422764,0.03902439024390244,0.0065040650406504065,0.05853658536585366,0.06666666666666667,0.06829268292682927,0.01788617886178862,0.03902439024390244,0.07317073170731707,0.07642276422764227,0.03414634146341464,0.04390243902439024,0.061788617886178863,0.06666666666666667,0.032520325203252036,0.0032520325203252032,0.02926829268292683,0.06829268292682927,19,10,5,3,7,3,0,10,3,5,10,1,1,0,3,11,2,1,2,0,0,5,6,6,2,1,1,0,4,4,6,4,3,2,1,1,1,2,1,2,5,0,0,0,0,0,0,0,0,8,7,4,4,7,1,0,4,4,3,2,5,3,0,9,6,4,2,4,6,0,5,5,3,4,4,1,0,7,2,2,0,1,4,0,3,1,1,1,6,0,0,1,0,0,0,0,0,0,6,3,5,4,3,3,0,5,5,8,2,5,4,1,5,3,2,2,0,1,0,1,3,2,1,2,1,0,4,2,2,0,2,2,0,0,4,2,0,1,3,0,0,0,0,0,0,0,0,5,5,1,4,2,1,0,5,6,2,2,2,2,0,0,4,3,2,2,3,0,2,3,1,1,1,0,0,0,7,0,1,0,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,5,1,4,5,2,1,0,5,2,7,2,2,1,0,5,3,0,1,4,0,0,4,0,2,0,0,2,0,1,3,2,2,1,2,0,4,2,2,2,1,2,0,1,0,1,0,0,0,0,3,3,0,1,2,3,0,2,1,6,4,1,1,0,2,2,1,2,0,0,0,1,2,1,0,2,0,0,2,1,1,1,4,1,1,4,4,0,1,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5960912052117264,-0.6628664495114006,-0.7850162866449512,-1.250814332247557,-2.08957654723127,-0.08631921824104234,-0.8859934853420195,-1.022801302931596,-0.6433224755700325,-1.5488599348534202,-1.6384364820846906,-0.9218241042345277,-0.31433224755700323,-1.4429967426710097,-0.2719869706840391,-0.5276872964169381,-0.9250814332247557,-2.560260586319218,-0.6579804560260586,-1.234527687296417
B4DLN1,0.11312217194570136,0.06334841628959276,0.024886877828054297,0.03167420814479638,0.020361990950226245,0.05203619909502263,0.05203619909502263,0.07692307692307693,0.01809954751131222,0.042986425339366516,0.1244343891402715,0.06334841628959276,0.02262443438914027,0.033936651583710405,0.049773755656108594,0.049773755656108594,0.04751131221719457,0.0022624434389140274,0.024886877828054297,0.08597285067873303,9,8,4,2,6,2,2,8,6,2,5,5,2,1,4,4,6,2,0,2,0,4,3,2,0,1,2,0,2,5,4,0,0,3,0,1,3,2,4,0,1,1,2,1,0,1,0,0,0,9,10,4,6,3,5,0,6,4,6,2,5,2,0,6,2,1,1,1,2,0,1,1,2,1,2,2,1,7,4,2,0,2,1,0,1,1,1,3,1,1,0,0,1,0,0,0,0,0,4,3,5,0,1,1,1,9,2,3,2,2,1,0,3,2,2,1,2,0,0,0,1,1,0,4,0,0,2,2,1,0,1,1,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,2,3,2,1,1,0,0,2,5,1,0,2,1,0,2,2,0,0,2,1,0,1,1,2,0,0,0,0,2,1,0,0,3,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,6,2,3,3,1,3,0,8,3,1,1,2,2,0,0,3,1,2,1,0,0,1,0,0,1,0,0,0,2,3,0,1,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,2,3,0,0,2,1,0,2,4,0,0,0,0,0,0,4,0,0,1,0,1,2,4,0,2,0,0,0,3,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21541950113378686,-1.4761904761904763,-1.5351473922902494,-2.2947845804988662,-2.061224489795918,-1.2471655328798186,-1.6802721088435375,-1.3560090702947847,-1.8662131519274376,-1.0430839002267573,-1.0430839002267573,-1.1859410430839001,-0.7482993197278912,-1.36281179138322,-1.9206349206349207,-0.4580498866213152,-0.4557823129251701,-2.435374149659864,-1.5850340136054422,-0.7709750566893424
B4DR61,0.07468879668049792,0.03734439834024896,0.024896265560165973,0.024896265560165973,0.016597510373443983,0.03941908713692946,0.043568464730290454,0.08713692946058091,0.008298755186721992,0.0954356846473029,0.11825726141078838,0.03941908713692946,0.035269709543568464,0.06224066390041494,0.03941908713692946,0.07261410788381743,0.056016597510373446,0.01037344398340249,0.03734439834024896,0.07676348547717843,7,8,4,2,0,4,0,8,18,7,0,0,2,1,7,5,8,5,1,2,0,1,2,0,0,0,0,0,4,1,3,3,0,3,0,0,4,1,0,2,0,0,0,1,1,0,0,0,0,11,6,9,1,6,2,2,11,15,10,8,5,5,1,7,9,2,3,1,3,0,1,4,6,1,1,0,1,3,2,0,2,1,0,0,4,2,2,1,0,2,0,0,2,0,0,0,0,0,3,14,5,0,4,1,0,10,8,4,2,1,1,0,5,3,4,1,0,2,1,3,2,6,1,0,1,0,1,1,2,1,0,0,0,1,1,3,0,1,0,1,0,1,0,0,0,0,0,1,3,3,0,2,0,0,1,5,2,0,1,2,0,4,5,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,3,5,0,1,0,0,3,2,1,2,0,0,0,2,2,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,5,1,1,1,1,0,1,2,1,2,1,0,0,1,0,0,0,0,0,0,2,4,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.6237006237006237,-1.6632016632016633,-1.449064449064449,-2.1995841995841996,-2.3284823284823286,-1.1226611226611227,-1.7130977130977132,-1.4553014553014554,-2.101871101871102,0.06444906444906445,-0.24116424116424118,-1.496881496881497,-0.2390852390852391,-0.41164241164241167,-1.864864864864865,-0.6403326403326404,-0.5135135135135135,-2.029106029106029,-0.9085239085239085,-0.35135135135135137
